id;date;channel;comment;rating
1;20/08/2025;Email;Service client réactif, j'ai été rappelé en 10 minutes. Merci !;
2;21/08/2025;App;Application lente sur Android, ça plante souvent après la mise à jour.;
3;22/08/2025;Web;Livraison à l'heure, emballage soigné. Très satisfait.;
4;23/08/2025;Store;Impossible de me connecter, message d'erreur inconnu.;
5;24/08/2025;Social;Le produit correspond bien à la description, top !;
6;25/08/2025;Email;Support injoignable hier soir, déçu de l'expérience.;
7;26/08/2025;App;Great quality, would buy again.;
8;27/08/2025;Web;Too expensive for the value, not happy.;
9;28/08/2025;Store;Interface claire et simple, j'adore le nouveau design.;
10;29/08/2025;Social;Retard de livraison de 3 jours, aucune info reçue.;
11;30/08/2025;Email;Remboursement rapide, problème réglé sans stress.;
12;31/08/2025;App;Bug lors du paiement, panier vidé automatiquement…;
13;01/09/2025;Web;Expérience correcte, rien à signaler.;
14;02/09/2025;Store;Je trouve les frais cachés, ce n'est pas transparent.;
15;03/09/2025;Social;Super promotion, j'ai fait une bonne affaire.;
16;04/09/2025;Email;Très mauvaise expérience, je ne recommande pas.;
17;05/09/2025;App;Agents très sympa au magasin de Lyon.;
18;06/09/2025;Web;The packaging was damaged but item ok.;
19;07/09/2025;Store;Notifications trop fréquentes, ça devient pénible.;
20;08/09/2025;Social;Bravo pour la nouvelle fonctionnalité !;
21;09/09/2025;Email;Conseiller compétent, problème résolu en quelques minutes.;
22;10/09/2025;App;Commande annulée sans avertissement, inadmissible.;
23;11/09/2025;Web;Site rapide et fiable, merci.;
24;12/09/2025;Store;Je suis mitigé, certains points positifs mais aussi des soucis.;
25;13/09/2025;Social;Top support chat, réponse immédiate.;
